Novel	O
Algorithms	O
Reveal	O
Streptococcal	O
Transcriptomes	O
and	O
Clues	O
about	O
Undefined	O
Genes	O

Bacteria	O
-	O
host	O
interactions	O
are	O
dynamic	O
processes	O
,	O
and	O
understanding	O
transcriptional	O
responses	O
that	O
directly	O
or	O
indirectly	O
regulate	O
the	O
expression	O
of	O
genes	O
involved	O
in	O
initial	O
infection	O
stages	O
would	O
illuminate	O
the	O
molecular	O
events	O
that	O
result	O
in	O
host	O
colonization	O
.	O
<EOS>	B-X
Regulation	B-X
of	B-X
a	B-X
variety	B-X
of	B-X
different	B-X
cellular	B-X
processes	B-X
,	B-X
including	B-X
posttranslational	B-X
modifications	B-X
,	B-X
is	B-X
critical	B-X
for	B-X
the	B-X
ability	B-X
of	B-X
many	B-X
viruses	B-X
to	B-X
replicate	B-X
efficiently	B-X
within	B-X
host	B-X
cells	B-X
.	B-X
Previously	B-X
,	B-X
we	B-X
showed	B-X
that	B-X
E4-ORF3	B-X
functions	B-X
as	B-X
a	B-X
SUMO	B-X
E3	B-X
ligase	B-X
of	B-X
transcriptional	B-X
intermediary	B-X
factor-1	B-X
gamma	B-X
(	B-X
TIF-1γ	B-X
)	B-X
and	B-X
promotes	B-X
poly-SUMO	B-X
chain	B-X
formation	B-X
.	B-X
Bacteria-host	B-X
interactions	B-X
are	B-X
dynamic	B-X
processes	B-X
,	B-X
and	B-X
understanding	B-X
transcriptional	B-X
responses	B-X
that	B-X
directly	B-X
or	B-X
indirectly	B-X
regulate	B-X
the	B-X
expression	B-X
of	B-X
genes	B-X
involved	B-X
in	B-X
initial	B-X
infection	B-X
stages	B-X
would	B-X
illuminate	B-X
the	B-X
molecular	B-X
events	B-X
that	B-X
result	B-X
in	B-X
host	B-X
colonization	B-X
.	B-X
We	B-X
used	B-X
oligonucleotide	B-X
microarrays	B-X
to	B-X
monitor	B-X
(	B-X
in	B-X
vitro	B-X
)	B-X
differential	B-X
gene	B-X
expression	B-X
in	B-X
group	B-X
A	B-X
streptococci	B-X
during	B-X
pharyngeal	B-X
cell	B-X
adherence	B-X
,	B-X
the	B-X
first	B-X
overt	B-X
infection	B-X
stage	B-X
.	B-X
We	B-X
present	B-X
neighbor	B-X
clustering	B-X
,	B-X
a	B-X
new	B-X
computational	B-X
method	B-X
