Down	O
-	O
regulation	O
of	O
interferon	B-Protein
regulatory	I-Protein
factor	I-Protein
4	I-Protein
gene	O
expression	O
in	O
leukemic	O
cells	O
due	O
to	O
hypermethylation	O
of	O
CpG	O
motifs	O
in	O
the	O
promoter	O
region	O
<EOS>	B-X
Although	B-X
the	B-X
bcr-abl	B-X
translocation	B-X
has	B-X
been	B-X
shown	B-X
to	B-X
be	B-X
the	B-X
causative	B-X
genetic	B-X
aberration	B-X
in	B-X
chronic	B-X
myeloid	B-X
leukemia	B-X
(	B-X
CML	B-X
)	B-X
,	B-X
there	B-X
is	B-X
mounting	B-X
evidence	B-X
that	B-X
the	B-X
deregulation	B-X
of	B-X
other	B-X
genes	B-X
,	B-X
such	B-X
as	B-X
the	B-X
transcription	B-X
factor	B-X
interferon	B-X
regulatory	B-X
factor	B-X
4	B-X
(	B-X
IRF-4	B-X
)	B-X
,	B-X
is	B-X
also	B-X
implicated	B-X
in	B-X
the	B-X
pathogenesis	B-X
of	B-X
CML	B-X
.	B-X
Promoter	B-X
methylation	B-X
of	B-X
CpG	B-X
target	B-X
sites	B-X
or	B-X
direct	B-X
deletions/insertions	B-X
of	B-X
genes	B-X
are	B-X
mechanisms	B-X
of	B-X
a	B-X
reversible	B-X
or	B-X
permanent	B-X
silencing	B-X
of	B-X
gene	B-X
expression	B-X
,	B-X
respectively	B-X
.	B-X
Therefore	B-X
,	B-X
we	B-X
investigated	B-X
whether	B-X
IRF-4	B-X
promoter	B-X
methylation	B-X
or	B-X
mutation	B-X
may	B-X
be	B-X
involved	B-X
in	B-X
the	B-X
regulation	B-X
of	B-X
IRF-4	B-X
expression	B-X
in	B-X
leukemia	B-X
cells	B-X
.	B-X
Whereas	B-X
promoter	B-X
mutations	B-X
or	B-X
structural	B-X
rearrangements	B-X
could	B-X
be	B-X
excluded	B-X
as	B-X
a	B-X
cause	B-X
of	B-X
altered	B-X
IRF-4	B-X
expression	B-X
in	B-X
hematopoietic	B-X
cells	B-X
,	B-X
the	B-X
IRF-4	B-X
promoter	B-X
methylation	B-X
status	B-X
was	B-X
found	B-X
to	B-X
significantly	B-X
influence	B-X
IRF-4	B-X
transcription	B-X
.	B-X
First	B-X
,	B-X
treatment	B-X
of	B-X
IRF-4-negative	B-X
lymphoid	B-X
,	B-X
myeloid	B-X
and	B-X
monocytic	B-X
cell	B-X
lines	B-X
with	B-X
the	B-X
methylation-inhibitor	B-X
5-aza-2-deoxycytidine	B-X
resulted	B-X
in	B-X
a	B-X
time-	B-X
and	B-X
concentration-dependent	B-X
increase	B-X
of	B-X
IRF-4	B-X
mRNA	B-X
and	B-X
protein	B-X
levels	B-X
.	B-X
Second	B-X
,	B-X
using	B-X
a	B-X
restriction-PCR-assay	B-X
and	B-X
bisulfite-sequencing	B-X
we	B-X
identified	B-X
specifically	B-X
methylated	B-X
CpG	B-X
sites	B-X
in	B-X
IRF-4-negative	B-X
but	B-X
not	B-X
in	B-X
IRF-4-positive	B-X
cells	B-X
.	B-X
Third	B-X
,	B-X
we	B-X
clearly	B-X
determined	B-X
promoter	B-X
methylation	B-X
as	B-X
a	B-X
mechanism	B-X
for	B-X
IRF-4	B-X
down-regulation	B-X
via	B-X
reporter	B-X
gene	B-X
assays	B-X
,	B-X
but	B-X
did	B-X
not	B-X
detect	B-X
an	B-X
association	B-X
of	B-X
methylational	B-X
status	B-X
and	B-X
mRNA	B-X
expression	B-X
of	B-X
DNA	B-X
methyltransferases	B-X
or	B-X
methyl-CpG-binding	B-X
proteins	B-X
.	B-X
Together	B-X
,	B-X
these	B-X
data	B-X
suggest	B-X
CpG	B-X
site-specific	B-X
IRF-4	B-X
promoter	B-X
methylation	B-X
as	B-X
a	B-X
putative	B-X
mechanism	B-X
of	B-X
down-regulated	B-X
IRF-4	B-X
expression	B-X
in	B-X
leukemia	B-X
.	B-X

Down	O
-	O
regulation	O
of	O
interferon	B-Protein
regulatory	I-Protein
factor	I-Protein
4	I-Protein
gene	O
expression	O
in	O
leukemic	O
cells	O
due	O
to	O
hypermethylation	O
of	O
CpG	O
motifs	O
in	O
the	O
promoter	O
region	O
<EOS>	B-X
Although	B-X
the	B-X
bcr-abl	B-X
translocation	B-X
has	B-X
been	B-X
shown	B-X
to	B-X
be	B-X
the	B-X
causative	B-X
genetic	B-X
aberration	B-X
in	B-X
chronic	B-X
myeloid	B-X
leukemia	B-X
(	B-X
CML	B-X
)	B-X
,	B-X
there	B-X
is	B-X
mounting	B-X
evidence	B-X
that	B-X
the	B-X
deregulation	B-X
of	B-X
other	B-X
genes	B-X
,	B-X
such	B-X
as	B-X
the	B-X
transcription	B-X
factor	B-X
interferon	B-X
regulatory	B-X
factor	B-X
4	B-X
(	B-X
IRF-4	B-X
)	B-X
,	B-X
is	B-X
also	B-X
implicated	B-X
in	B-X
the	B-X
pathogenesis	B-X
of	B-X
CML	B-X
.	B-X
Promoter	B-X
methylation	B-X
of	B-X
CpG	B-X
target	B-X
sites	B-X
or	B-X
direct	B-X
deletions/insertions	B-X
of	B-X
genes	B-X
are	B-X
mechanisms	B-X
of	B-X
a	B-X
reversible	B-X
or	B-X
permanent	B-X
silencing	B-X
of	B-X
gene	B-X
expression	B-X
,	B-X
respectively	B-X
.	B-X
Therefore	B-X
,	B-X
we	B-X
investigated	B-X
whether	B-X
IRF-4	B-X
promoter	B-X
methylation	B-X
or	B-X
mutation	B-X
may	B-X
be	B-X
involved	B-X
in	B-X
the	B-X
regulation	B-X
of	B-X
IRF-4	B-X
expression	B-X
in	B-X
leukemia	B-X
cells	B-X
.	B-X
Whereas	B-X
promoter	B-X
mutations	B-X
or	B-X
structural	B-X
rearrangements	B-X
could	B-X
be	B-X
excluded	B-X
as	B-X
a	B-X
cause	B-X
of	B-X
altered	B-X
IRF-4	B-X
expression	B-X
in	B-X
hematopoietic	B-X
cells	B-X
,	B-X
the	B-X
IRF-4	B-X
promoter	B-X
methylation	B-X
status	B-X
was	B-X
found	B-X
to	B-X
significantly	B-X
influence	B-X
IRF-4	B-X
transcription	B-X
.	B-X
First	B-X
,	B-X
treatment	B-X
of	B-X
IRF-4-negative	B-X
lymphoid	B-X
,	B-X
myeloid	B-X
and	B-X
monocytic	B-X
cell	B-X
lines	B-X
with	B-X
the	B-X
methylation-inhibitor	B-X
5-aza-2-deoxycytidine	B-X
resulted	B-X
in	B-X
a	B-X
time-	B-X
and	B-X
concentration-dependent	B-X
increase	B-X
of	B-X
IRF-4	B-X
mRNA	B-X
and	B-X
protein	B-X
levels	B-X
.	B-X
Second	B-X
,	B-X
using	B-X
a	B-X
restriction-PCR-assay	B-X
and	B-X
bisulfite-sequencing	B-X
we	B-X
identified	B-X
specifically	B-X
methylated	B-X
CpG	B-X
sites	B-X
in	B-X
IRF-4-negative	B-X
but	B-X
not	B-X
in	B-X
IRF-4-positive	B-X
cells	B-X
.	B-X
Third	B-X
,	B-X
we	B-X
clearly	B-X
determined	B-X
promoter	B-X
methylation	B-X
as	B-X
a	B-X
mechanism	B-X
for	B-X
IRF-4	B-X
down-regulation	B-X
via	B-X
reporter	B-X
gene	B-X
assays	B-X
,	B-X
but	B-X
did	B-X
not	B-X
detect	B-X
an	B-X
association	B-X
of	B-X
methylational	B-X
status	B-X
and	B-X
mRNA	B-X
expression	B-X
of	B-X
DNA	B-X
methyltransferases	B-X
or	B-X
methyl-CpG-binding	B-X
proteins	B-X
.	B-X
Together	B-X
,	B-X
these	B-X
data	B-X
suggest	B-X
CpG	B-X
site-specific	B-X
IRF-4	B-X
promoter	B-X
methylation	B-X
as	B-X
a	B-X
putative	B-X
mechanism	B-X
of	B-X
down-regulated	B-X
IRF-4	B-X
expression	B-X
in	B-X
leukemia	B-X
.	B-X

Although	O
the	O
bcr	B-Protein
-	O
abl	B-Protein
translocation	O
has	O
been	O
shown	O
to	O
be	O
the	O
causative	O
genetic	O
aberration	O
in	O
chronic	O
myeloid	O
leukemia	O
(	O
CML	O
)	O
,	O
there	O
is	O
mounting	O
evidence	O
that	O
the	O
deregulation	O
of	O
other	O
genes	O
,	O
such	O
as	O
the	O
transcription	O
factor	O
interferon	B-Protein
regulatory	I-Protein
factor	I-Protein
4	I-Protein
(	O
IRF	B-Protein
-	I-Protein
4	I-Protein
)	O
,	O
is	O
also	O
implicated	O
in	O
the	O
pathogenesis	O
of	O
CML	O
.	O
<EOS>	B-X
Although	B-X
the	B-X
bcr-abl	B-X
translocation	B-X
has	B-X
been	B-X
shown	B-X
to	B-X
be	B-X
the	B-X
causative	B-X
genetic	B-X
aberration	B-X
in	B-X
chronic	B-X
myeloid	B-X
leukemia	B-X
(	B-X
CML	B-X
)	B-X
,	B-X
there	B-X
is	B-X
mounting	B-X
evidence	B-X
that	B-X
the	B-X
deregulation	B-X
of	B-X
other	B-X
genes	B-X
,	B-X
such	B-X
as	B-X
the	B-X
transcription	B-X
factor	B-X
interferon	B-X
regulatory	B-X
factor	B-X
4	B-X
(	B-X
IRF-4	B-X
)	B-X
,	B-X
is	B-X
also	B-X
implicated	B-X
in	B-X
the	B-X
pathogenesis	B-X
of	B-X
CML	B-X
.	B-X
