Comparison	O
of	O
the	O
backbone	O
dynamics	O
of	O
the	O
apo	O
-	O
and	O
holo	O
-	O
carboxy	O
-	O
terminal	O
domain	O
of	O
the	O
biotin	B-Protein
carboxyl	I-Protein
carrier	I-Protein
subunit	I-Protein
of	O
Escherichia	O
coli	O
acetyl	O
-	O
CoA	O
carboxylase	O
.	O
<EOS>	B-X
The	B-X
biotin	B-X
carboxyl	B-X
carrier	B-X
protein	B-X
(	B-X
BCCP	B-X
)	B-X
is	B-X
a	B-X
subunit	B-X
of	B-X
acetyl-CoA	B-X
carboxylase	B-X
,	B-X
a	B-X
biotin-dependent	B-X
enzyme	B-X
that	B-X
catalyzes	B-X
the	B-X
first	B-X
committed	B-X
step	B-X
of	B-X
fatty	B-X
acid	B-X
biosynthesis	B-X
.	B-X
Apo-BCCP	B-X
interacts	B-X
specifically	B-X
with	B-X
the	B-X
biotin	B-X
holoenzyme	B-X
synthetase	B-X
,	B-X
BirA	B-X
,	B-X
which	B-X
results	B-X
in	B-X
the	B-X
post-translational	B-X
attachment	B-X
of	B-X
biotin	B-X
to	B-X
a	B-X
single	B-X
lysine	B-X
residue	B-X
on	B-X
BCCP	B-X
.	B-X
Holo-BCCP	B-X
then	B-X
interacts	B-X
with	B-X
the	B-X
biotin	B-X
carboxylase	B-X
subunit	B-X
of	B-X
acetyl-CoA	B-X
carboxylase	B-X
,	B-X
which	B-X
leads	B-X
to	B-X
the	B-X
addition	B-X
of	B-X
the	B-X
carboxylate	B-X
group	B-X
of	B-X
bicarbonate	B-X
to	B-X
biotin	B-X
.	B-X
Finally	B-X
,	B-X
the	B-X
carboxy-biotinylated	B-X
form	B-X
of	B-X
BCCP	B-X
interacts	B-X
with	B-X
transcarboxylase	B-X
in	B-X
the	B-X
transfer	B-X
of	B-X
the	B-X
carboxylate	B-X
to	B-X
acetyl-CoA	B-X
to	B-X
form	B-X
malonyl-CoA	B-X
.	B-X
The	B-X
NMR	B-X
solution	B-X
structure	B-X
of	B-X
the	B-X
unbiotinylated	B-X
form	B-X
of	B-X
an	B-X
87	B-X
residue	B-X
C-terminal	B-X
domain	B-X
fragment	B-X
(	B-X
residue	B-X
70-156	B-X
)	B-X
of	B-X
BCCP	B-X
(	B-X
holoBCCP87	B-X
)	B-X
and	B-X
the	B-X
crystal	B-X
structure	B-X
of	B-X
the	B-X
biotinylated	B-X
form	B-X
of	B-X
a	B-X
C-terminal	B-X
fragment	B-X
(	B-X
residue	B-X
77-156	B-X
)	B-X
of	B-X
BCCP	B-X
from	B-X
Escherichia	B-X
coli	B-X
